iter	Passed	Remaining
0	19	19345
1	36	18375
2	53	17802
3	73	18355
4	90	17982
5	107	17849
6	118	16765
7	134	16631
8	152	16827
9	168	16636
10	185	16684
11	193	15932
12	200	15211
13	220	15521
14	238	15648
15	255	15734
16	269	15582
17	281	15381
18	295	15235
19	305	14955
20	324	15131
21	346	15393
22	358	15224
23	375	15269
24	392	15315
25	405	15192
26	424	15280
27	434	15067
28	453	15174
29	471	15260
30	484	15139
31	491	14859
32	503	14748
33	510	14516
34	527	14531
35	534	14310
36	546	14236
37	565	14310
38	581	14318
39	594	14266
40	607	14206
41	618	14099
42	626	13933
43	645	14018
44	662	14068
45	680	14122
46	698	14173
47	717	14234
48	728	14131
49	746	14189
50	762	14184
51	780	14234
52	793	14175
53	811	14224
54	831	14294
55	850	14342
56	860	14234
57	878	14272
58	885	14130
59	904	14173
60	923	14214
61	933	14122
62	951	14152
63	970	14190
64	986	14194
65	994	14071
66	1013	14110
67	1029	14105
68	1042	14060
69	1054	14013
70	1069	13993
71	1076	13876
72	1095	13906
73	1113	13937
74	1133	13974
75	1152	14009
76	1170	14035
77	1189	14062
78	1202	14024
79	1221	14051
80	1240	14073
81	1259	14105
82	1278	14129
83	1294	14117
84	1313	14140
85	1323	14070
86	1339	14060
87	1358	14081
88	1377	14096
89	1390	14064
90	1410	14091
91	1430	14113
92	1448	14131
93	1468	14149
94	1486	14164
95	1505	14178
96	1515	14111
97	1533	14118
98	1552	14130
99	1565	14088
100	1581	14081
101	1600	14092
102	1619	14101
103	1638	14118
104	1658	14134
105	1677	14148
106	1692	14128
107	1706	14093
108	1724	14097
109	1742	14101
110	1762	14116
111	1776	14082
112	1795	14091
113	1813	14096
114	1832	14102
115	1852	14115
116	1872	14128
117	1891	14137
118	1907	14118
119	1925	14122
120	1941	14101
121	1954	14068
122	1962	13991
123	1982	14002
124	1998	13986
125	2017	13995
126	2036	14001
127	2055	14005
128	2074	14008
129	2093	14009
130	2101	13938
131	2119	13937
132	2137	13933
133	2156	13933
134	2175	13939
135	2191	13924
136	2210	13923
137	2229	13925
138	2239	13873
139	2258	13875
140	2277	13876
141	2301	13907
142	2320	13909
143	2328	13843
144	2333	13759
145	2353	13767
146	2373	13771
147	2392	13774
148	2411	13770
149	2430	13773
150	2435	13693
151	2454	13693
152	2473	13693
153	2481	13630
154	2492	13587
155	2511	13585
156	2525	13559
157	2544	13558
158	2563	13557
159	2582	13556
160	2602	13560
161	2621	13560
162	2640	13558
163	2656	13543
164	2663	13481
165	2683	13479
166	2693	13437
167	2704	13392
168	2723	13392
169	2742	13390
170	2761	13387
171	2780	13386
172	2794	13358
173	2807	13329
174	2827	13329
175	2837	13286
176	2851	13257
177	2870	13253
178	2877	13196
179	2896	13195
180	2915	13194
181	2934	13190
182	2954	13191
183	2973	13187
184	2992	13182
185	3010	13175
